Tamaño de matriz,Tiempo de ejecución (ms),Suma total
732,17.2236,2413015
733,17.5945,2418370
734,17.6441,2422154
735,16.9611,2430250
736,16.604,2441862
737,16.9802,2443941
738,18.0979,2451817
739,17.2942,2456848
740,16.4461,2466061
741,17.7555,2470380
742,17.3936,2477931
743,16.1574,2486300
744,17.93,2492545
745,17.5645,2500385
746,17.3712,2510020
747,16.8376,2513760
748,17.0487,2519672
749,18.0147,2522279
750,17.1685,2535292
751,16.3179,2538640
752,16.5105,2543180
753,16.4695,2548384
754,16.5041,2557131
755,15.4275,2564093
756,16.1547,2571404
757,16.6199,2576851
758,16.0047,2585306
759,15.5458,2593475
760,15.8607,2605187
761,15.799,2605966
762,16.0653,2613458
763,15.6109,2618827
764,17.584,2628437
765,16.2079,2632767
766,15.3711,2636507
767,14.7764,2646705
768,15.9239,2653562
769,15.9218,2659234
770,15.5479,2668986
771,16.1874,2670357
772,15.9323,2679965
773,15.9682,2693118
774,16.6322,2693285
775,16.3694,2705006
776,15.7342,2708679
777,15.7311,2722608
778,14.8115,2724535
779,14.373,2729688
780,14.3106,2739515
781,16.0503,2744863
782,15.3189,2750096
783,15.3081,2759915
784,15.6406,2766662
785,31.0795,2774187
786,14.9373,2779425
787,29.3981,2790842
788,15.5117,2793637
789,14.4545,2798478
790,15.1549,2808084
791,14.6508,2817881
792,16.0205,2824198
793,14.7835,2832642
794,14.7326,2839497
795,15.0809,2845109
796,14.3774,2852773
797,14.6704,2859755
798,16.0073,2865190
799,14.8624,2872086
800,15.3175,2881468
801,13.8337,2887789
802,14.8804,2895711
803,14.8368,2900027
804,14.8798,2908412
805,15.3311,2917066
806,15.5211,2921577
807,13.5942,2932109
808,14.5705,2938963
809,12.9421,2946678
810,15.2489,2954816
811,14.259,2960877
812,14.9941,2964650
813,13.8631,2973828
814,13.8493,2980024
815,13.3853,2987652
816,14.0302,2994842
817,13.5233,3001871
818,14.4972,3013587
819,15.1741,3014091
820,13.9764,3023625
821,13.8374,3036639
822,12.9562,3039768
823,13.3235,3051435
824,14.3212,3055886
825,13.5111,3064302
826,13.0751,3070451
827,12.9618,3079386
828,14.0804,3084203
829,13.2604,3093885
830,13.2385,3099188
831,14.2442,3109838
832,13.4127,3111784
833,13.7341,3124881
834,12.9179,3132088
835,11.8278,3138985
836,28.0936,3143495
837,27.5448,3152216
838,12.8566,3161915
839,13.0397,3169980
840,13.5434,3176101
841,13.2751,3177872
842,12.8421,3187707
843,12.4242,3197554
844,13.248,3209010
845,12.587,3215698
846,12.5905,3219118
847,11.495,3228102
848,13.1901,3237528
849,13.083,3249435
850,11.7457,3250163
851,12.6061,3258589
852,11.5571,3270548
853,13.2061,3276703
854,10.4293,3276102
855,12.6336,3291897
856,12.4002,3294938
857,13.5392,3306060
858,12.6821,3313525
859,12.7505,3325204
860,11.7485,3328643
861,12.8102,3336336
862,12.2898,3341761
863,11.7747,3352973
864,10.0664,3357149
865,11.6481,3370398
